X,Y,Fuel
27752.9922,12424.3664, 6792
27873.456,12456.0668, 6784
27994.3515,12486.2474, 6776
28115.6573,12514.9038, 6768
28237.3519,12542.0317, 6760
28359.4138,12567.6269, 6752
28481.8214,12591.6859, 6744
28604.5532,12614.205, 6736
28727.5877,12635.1811, 6728
28850.903,12654.6113, 6720
28974.4777,12672.4929, 6712
29098.2901,12688.8235, 6704
29222.3185,12703.601, 6696
29346.5411,12716.8236, 6688
29470.9365,12728.4897, 6680
29595.4828,12738.5981, 6672
29720.1584,12747.1477, 6664
29844.9416,12754.1378, 6656
29969.8109,12759.568, 6648
30094.7445,12763.438, 6640
30219.7208,12765.7479, 6632
30344.7183,12766.4981, 6624
30469.7154,12765.6892, 6616
30594.6906,12763.322, 6608
30719.6223,12759.3978, 6600
30844.4892,12753.9179, 6592
30969.2697,12746.884, 6584
31093.9425,12738.2981, 6576
31218.4864,12728.1624, 6568
31342.88,12716.4794, 6560
31467.102,12703.2518, 6552
31591.1315,12688.4826, 6544
31714.9472,12672.1751, 6536
31838.5282,12654.3329, 6528
31961.8535,12634.9596, 6520
32084.9022,12614.0593, 6512
32207.6536,12591.6363, 6504
32330.0868,12567.6952, 6496
32452.1814,12542.2408, 6488
32573.9166,12515.278, 6480
32695.2721,12486.8123, 6472
32816.2276,12456.8491, 6464
32936.7626,12425.3942, 6456
33056.8572,12392.4537, 6448
33176.4911,12358.0339, 6440
33295.6446,12322.1412, 6432
33414.2976,12284.7825, 6424
33532.4305,12245.9647, 6416
33650.0237,12205.695, 6408
33767.0577,12163.981, 6400
33883.5132,12120.8303, 6392
33999.3707,12076.2509, 6384
34114.6113,12030.2509, 6376
34229.216,11982.8387, 6368
34343.1659,11934.0229, 6360
34456.4423,11883.8124, 6352
34569.0267,11832.2162, 6344
34680.9005,11779.2436, 6336
34792.0455,11724.9041, 6328
34902.4436,11669.2074, 6320
35012.0768,11612.1634, 6312
35120.9273,11553.7822, 6304
35228.9773,11494.0742, 6296
35336.2094,11433.0499, 6288
35442.6062,11370.72, 6280
35548.1506,11307.0956, 6272
35652.8254,11242.1877, 6264
35756.6139,11176.0078, 6256
35859.4993,11108.5672, 6248
35961.4652,11039.8778, 6240
36062.4952,10969.9515, 6232
36162.5732,10898.8004, 6224
36261.6831,10826.4367, 6216
36359.8093,10752.873, 6208
36456.9361,10678.1219, 6200
36553.048,10602.1962, 6192
36648.1299,10525.1089, 6184
36742.1667,10446.8731, 6176
36835.1436,10367.5024, 6168
36927.0459,10287.01, 6160
37017.8591,10205.4098, 6152
37107.5691,10122.7154, 6144
37196.1618,10038.9411, 6136
37283.6233,9954.1007, 6128
37369.9399,9868.2088, 6120
37455.0984,9781.2797, 6112
37539.0853,9693.328, 6104
37621.8878,9604.3685, 6096
37703.4929,9514.416, 6088
37783.8882,9423.4855, 6080
37863.0612,9331.5923, 6072
37940.9998,9238.7516, 6064
38017.692,9144.9788, 6056
38093.1261,9050.2895, 6048
38167.2906,8954.6994, 6040
38240.1743,8858.2243, 6032
38311.766,8760.88, 6024
38382.055,8662.6826, 6016
38451.0306,8563.6482, 6008
38518.6824,8463.7932, 6000
38585.0004,8363.1339, 5992
38649.9745,8261.6867, 5984
38713.5951,8159.4682, 5976
38775.8527,8056.495, 5968
38836.7381,7952.7841, 5960
38896.2423,7848.3521, 5952
38954.3565,7743.2161, 5944
39011.0722,7637.393, 5936
39066.3811,7530.9001, 5928
39120.2751,7423.7544, 5920
39172.7465,7315.9734, 5912
